ID,住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域,is_target,building_usage,building_usage_detailed,by_google_map,floor_area,building_usage_detailed_sim,CL
3189,13102,中央区,新川,１丁目,5,19,茅場町長岡ビル,8,3004,13,0,0,11,0,2,0,0,84.62,0,15.38,136.85,1094.8,0,0,0,0,0,0,821.1,74.65,273.7,136.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7816575,35.6778553,0,,,TRUE,01_Office,Office,FALSE,1094.8,Office,CL4
3190,13102,中央区,新川,１丁目,5,13,伊成ビル,7,3003,18,0,1,10,0,7,0,5.56,55.56,0,38.89,320.03,2560.24,0,0,29.09,29.09,0,0,290.94,29.09,2240.21,320.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7810514,35.6774267,0,,,TRUE,01_Office,Office,FALSE,2531.15,Office,CL5
3191,13102,中央区,新川,１丁目,5,13,全印健保会館,7,3004,10,0,0,1,0,9,0,0,10,0,90,281.87,2254.96,0,0,0,0,0,0,93.96,93.96,2161,240.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7809147,35.6773383,0,,,TRUE,01_Office,Office,FALSE,2254.96,Office,CL5
3192,13102,中央区,新川,１丁目,5,18,泉新川ビル,7,3004,10,0,0,9,0,1,0,0,90,0,10,391.44,2740.08,0,0,0,0,0,0,2609.6,289.96,130.48,130.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7815747,35.6777317,0,,,TRUE,01_Office,Office,FALSE,2740.08,Office,CL5
3193,13102,中央区,新川,１丁目,5,17,エイハ新川,12,3004,16,0,0,16,0,0,0,0,100,0,0,800.72,9608.64,0,0,0,0,0,0,9608.64,600.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,139.7813411,35.6775864,0,,,TRUE,01_Office,Office,FALSE,9608.64,Office,CL6
3194,13102,中央区,新川,１丁目,5,3,千代田ビル,4,3004,4,0,0,2,0,2,0,0,50,0,50,165.08,660.32,0,0,0,0,0,0,330.16,165.08,330.16,165.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7817725,35.6777731,0,,,TRUE,01_Office,Office,FALSE,660.32,Office,CL3
3195,13102,中央区,新川,１丁目,5,19,,4,1001,1,0,1,0,0,0,0,100,0,0,0,84.27,337.08,0,0,337.08,337.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7817281,35.6778872,0,,,FALSE,,,FALSE,337.08,,
3196,13102,中央区,新川,１丁目,6,15,社会保険労務士法人ＴＥＮｃｏｌｏｒｓ,3,2027,1,0,0,1,0,0,0,0,100,0,0,51,153,0,0,0,0,0,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7812414,35.6772947,0,,,TRUE,01_Office,Office,FALSE,153,Office,CL1
3197,13102,中央区,新川,１丁目,6,6,（株）日建,0,1008,2,0,1,1,0,0,0,50,50,0,0,35.55,71.1,0,0,35.55,35.55,0,0,35.55,35.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7815994,35.6773164,0,,,TRUE,01_Office,Office,FALSE,35.55,Office,CL1
3198,13102,中央区,新川,１丁目,6,7,ＴＹビル,5,1002,8,0,0,1,6,1,0,0,12.5,75,12.5,74.41,372.05,0,0,0,0,260.44,43.41,37.21,37.21,74.41,74.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7815319,35.6771256,0,,,FALSE,,,FALSE,111.62,,
3199,13102,中央区,新川,１丁目,6,7,,3,1001,1,0,1,0,0,0,0,100,0,0,0,34.54,103.62,0,0,103.62,103.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7813972,35.6773133,0,,,FALSE,,,FALSE,103.62,,
